"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"6144943","09014236221000823000000000U5","1329 CONSTRUCCIONES","1329 CONSTRUCCIONES SA DE CV","236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","11 a 30 personas",,"CERRADA TEXCO","CALLE","NIGROMANTE","PEATONAL","JORGE CARREÑO ALVARADO","EJE VIAL","CENTRAL (LAZARO CARDENAS)","35",,,,"0",,"COLONIA","SANTA CRUZ ATOYAC",,,,"03810","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0473","012",,"JAGUILERA@1329.COM.MX","WWW.1329.COM.MX","Fijo","19.38195984","-99.14717593","2010-07"
"6144588","09014236221000733000000000U6","ABH EDIFICACIONES Y PROYECTOS","ABH EDIFICACIONES Y PROYECTOS SA DE CV","236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","11 a 30 personas","CALLE","DON JUAN","CALLE","MARIA","CALLE","EMMA","CALLE","JUSTINA","73",,,,"2",,"COLONIA","NATIVITAS",,,,"03420","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0524","003",,,,"Fijo","19.38081887","-99.1367012","2010-07"
"8539784","09014238210000841000000000U8","ABRCONTROL DISTRIBUIDO",,"238210","Instalaciones eléctricas en construcciones","0 a 5 personas","CALLE","BARTOLOME R. SALIDO","CALLE","ZEMPOALA","CALLE","MITLA","CALLE","SAN BORJA","152","C",,,,,"COLONIA","INDEPENDENCIA",,,,"03630","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0469","007",,,,"Fijo","19.3819488","-99.14971218","2019-11"
"902642","09014238210000482000000000U1","AEA PROYECTOS E INSTALACIONES","AEA PROYECTOS E INSTALACIONES SA DE CV","238210","Instalaciones eléctricas en construcciones","6 a 10 personas","CALLE","CUMBRES DE ACULTZINGO","CALLE","LA QUEMADA","CALLE","MITLA","CALLE","CUMBRES DE MALTRATA","26",,,,"2",,"COLONIA","NARVARTE ORIENTE",,,,"03020","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0276","007",,"AEAPROYECTOS@HOTMAIL.COM",,"Fijo","19.39225866","-99.14976992","2014-12"
"6725850","09014236221000683000000000U3","ARQUITECNIA URBANA",,"236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","0 a 5 personas",,"FCO.HERNANDEZ DEL CASTILLO",,,,,,,"2761",,,,,,,"NATIVITAS",,,,,"09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0331","007",,,,"Fijo","19.3847218","-99.13539763","2016-01"
"7805241","09014238290000171000000000U2","AUTOMATIZACIONES WACHOCK","AUTOMATIZACIONES WACHOCK SA","238290","Otras instalaciones y equipamiento en construcciones","0 a 5 personas","CALLE","ISABEL LA CATOLICA","CALLE","TOLEDO","EJE VIAL","4 SUR (XOLA)","CALLE","ANDALUCÍA","763","3",,,,,"COLONIA","ALAMOS",,,,"03400","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0134","015",,,,"Fijo","19.39527587","-99.1414431","2019-11"
"9317823","09014238110000071000000000U4","CIMANC CIMENTACIONES Y ANCLAJES","CIMANC CIMENTACIONES Y ANCLAJES SA DE CV","238110","Trabajos de cimentaciones","101 a 250 personas","CALLE","MARÍA","CALLE","REFUGIO","CALLE","LAURA","CALLE","BERTHA","12",,,,"11",,"COLONIA","NATIIVITAS",,,,"03500","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","051A","010",,"DEPTO.CONTABLE@CIMANC.COM.MX",,"Fijo","19.3843803","-99.13585437","2020-11"
"899845","09015237131000081111000000U7","COMSET","COMSET SA DE CV","237132","Construcción de obras para telecomunicaciones","11 a 30 personas","CALLE","CHICHUN ITZA","CALLE","UXMAL","CALLE","XOCHICALCO","CALLE","PILARES","223",,,,,,"COLONIA","LETRAN VALLE",,,,"03650","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","044A","018",,"CONTACTO@COMSETMEXICO.COM","WWW.COMSETMEXICO.COM","Fijo","19.38143375","-99.15706331","2014-12"
"6144612","09014236221000884000000000U7","CONSTRUCCIONES IDO","CONSTRUCCIONES IDO SA DE CV","236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","11 a 30 personas",,"BERTHA","CALLE","REFUGIO","EJE VIAL","5 SUR (PRIMERO DE MAYO)","CALLE","CARMEN","50",,,,"0",,"COLONIA","NATIVITAS",,,,"03500","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","051A","016",,"TOMAS@IDO.MX",,"Fijo","19.38285498","-99.13555688","2010-07"
"9319033","09014236211000211000000000U9","CONSTRUCCIONES OBRAS E INSTALACIONES","CONSTRUCCIONES OBRAS E INSTALACIONES SA DE CV","236211","Edificación de naves y plantas industriales, excepto la supervisión","51 a 100 personas","CALLE","TAJIN","AVENIDA","DIAGONAL SAN ANTONIO","EJE VIAL","4 SUR (XOLA)","CALLE","PETUN","13",,,,,,"COLONIA","NARVARTE PONIENTE",,,,"03020","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0083","001",,"COINSA03@PRODIGY.NET.MX",,"Fijo","19.39577091","-99.15300424","2020-11"
